run_id,rule_id,dataset_id,run_at,status,actual,message
R004-D3,R004,DS002,2026-05-06 06:26:43.362190,PASSED,0.0,Check passed
R004-D2,R004,DS002,2026-05-07 06:26:43.362190,FAILED,0.05,Null/schema check failed
R004-D1,R004,DS002,2026-05-08 06:26:43.362190,FAILED,0.05,Null/schema check failed
R005-D7,R005,DS002,2026-05-02 06:26:43.362190,PASSED,0.001,Check passed
R005-D6,R005,DS002,2026-05-03 06:26:43.362190,PASSED,0.001,Check passed
R005-D5,R005,DS002,2026-05-04 06:26:43.362190,PASSED,0.001,Check passed
R005-D4,R005,DS002,2026-05-05 06:26:43.362190,PASSED,0.001,Check passed
R005-D3,R005,DS002,2026-05-06 06:26:43.362190,PASSED,0.001,Check passed
R005-D2,R005,DS002,2026-05-07 06:26:43.362190,PASSED,0.001,Check passed
R005-D1,R005,DS002,2026-05-08 06:26:43.362190,PASSED,0.001,Check passed
R006-D7,R006,DS002,2026-05-02 06:26:43.362190,PASSED,0.0,Check passed
R006-D6,R006,DS002,2026-05-03 06:26:43.362190,PASSED,0.0,Check passed
R006-D5,R006,DS002,2026-05-04 06:26:43.362190,PASSED,0.0,Check passed
R006-D4,R006,DS002,2026-05-05 06:26:43.362190,PASSED,0.0,Check passed
R006-D3,R006,DS002,2026-05-06 06:26:43.362190,PASSED,0.0,Check passed
R006-D2,R006,DS002,2026-05-07 06:26:43.362190,FAILED,0.05,Null/schema check failed
R006-D1,R006,DS002,2026-05-08 06:26:43.362190,FAILED,0.05,Null/schema check failed
R007-D7,R007,DS003,2026-05-02 06:26:43.362190,PASSED,50.0,Check passed
R007-D6,R007,DS003,2026-05-03 06:26:43.362190,PASSED,50.0,Check passed
R007-D5,R007,DS003,2026-05-04 06:26:43.362190,PASSED,50.0,Check passed
R007-D4,R007,DS003,2026-05-05 06:26:43.362190,PASSED,50.0,Check passed
R007-D3,R007,DS003,2026-05-06 06:26:43.362190,PASSED,50.0,Check passed
R007-D2,R007,DS003,2026-05-07 06:26:43.362190,PASSED,50.0,Check passed
R007-D1,R007,DS003,2026-05-08 06:26:43.362190,PASSED,50.0,Check passed
R008-D7,R008,DS004,2026-05-02 06:26:43.362190,PASSED,0.0,Check passed
R008-D6,R008,DS004,2026-05-03 06:26:43.362190,PASSED,0.0,Check passed
R008-D5,R008,DS004,2026-05-04 06:26:43.362190,PASSED,0.0,Check passed
R008-D4,R008,DS004,2026-05-05 06:26:43.362190,PASSED,0.0,Check passed
R008-D3,R008,DS004,2026-05-06 06:26:43.362190,PASSED,0.0,Check passed
R008-D2,R008,DS004,2026-05-07 06:26:43.362190,PASSED,0.0,Check passed
R008-D1,R008,DS004,2026-05-08 06:26:43.362190,PASSED,0.0,Check passed
R009-D7,R009,DS005,2026-05-02 06:26:43.362190,PASSED,0.0,Check passed
R009-D6,R009,DS005,2026-05-03 06:26:43.362190,PASSED,0.0,Check passed
R009-D5,R009,DS005,2026-05-04 06:26:43.362190,PASSED,0.0,Check passed
R009-D4,R009,DS005,2026-05-05 06:26:43.362190,PASSED,0.0,Check passed
R009-D3,R009,DS005,2026-05-06 06:26:43.362190,PASSED,0.0,Check passed
R009-D2,R009,DS005,2026-05-07 06:26:43.362190,PASSED,0.0,Check passed
R009-D1,R009,DS005,2026-05-08 06:26:43.362190,PASSED,0.0,Check passed
R010-D7,R010,DS005,2026-05-02 06:26:43.362190,PASSED,4.8,Check passed
R010-D6,R010,DS005,2026-05-03 06:26:43.362190,PASSED,4.8,Check passed
R010-D5,R010,DS005,2026-05-04 06:26:43.362190,PASSED,4.8,Check passed
R010-D4,R010,DS005,2026-05-05 06:26:43.362190,PASSED,4.8,Check passed
R010-D3,R010,DS005,2026-05-06 06:26:43.362190,PASSED,4.8,Check passed
R010-D2,R010,DS005,2026-05-07 06:26:43.362190,PASSED,4.8,Check passed
R010-D1,R010,DS005,2026-05-08 06:26:43.362190,PASSED,4.8,Check passed
R011-D7,R011,DS006,2026-05-02 06:26:43.362190,PASSED,10.0,Check passed
R011-D6,R011,DS006,2026-05-03 06:26:43.362190,PASSED,10.0,Check passed
R011-D5,R011,DS006,2026-05-04 06:26:43.362190,PASSED,10.0,Check passed
R011-D4,R011,DS006,2026-05-05 06:26:43.362190,PASSED,10.0,Check passed
R011-D3,R011,DS006,2026-05-06 06:26:43.362190,PASSED,10.0,Check passed
R011-D2,R011,DS006,2026-05-07 06:26:43.362190,PASSED,10.0,Check passed
R011-D1,R011,DS006,2026-05-08 06:26:43.362190,PASSED,10.0,Check passed
